chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43035806	chr21	43035806	R	269	100	0
chr21.43037069	chr21	43037069	F	32	100	0
chr21.43037089	chr21	43037089	F	32	100	0
chr21.43037297	chr21	43037297	R	36	100	0
chr21.43037335	chr21	43037335	R	36	100	0
chr21.43037981	chr21	43037981	F	36	100	0
chr21.43037998	chr21	43037998	F	38	100	0
chr21.43038001	chr21	43038001	F	38	100	0
chr21.43038092	chr21	43038092	F	166	100	0
chr21.43038111	chr21	43038111	F	164	83.54	16.46
chr21.43038177	chr21	43038177	R	375	100	0
chr21.43038177	chr21	43038177	F	268	100	0
chr21.43038362	chr21	43038362	R	12	100	0
chr21.43038365	chr21	43038365	R	12	100	0
chr21.43038393	chr21	43038393	R	12	100	0
chr21.43039286	chr21	43039286	F	113	100	0
chr21.43039310	chr21	43039310	F	111	0	100
chr21.43039327	chr21	43039327	F	114	0	100
chr21.43040460	chr21	43040460	F	82	100	0
chr21.43040514	chr21	43040514	F	80	0	100
chr21.43044631	chr21	43044631	F	92	100	0
chr21.43044668	chr21	43044668	F	92	100	0
chr21.43044689	chr21	43044689	F	91	100	0
chr21.43044876	chr21	43044876	R	12	100	0
chr21.43044883	chr21	43044883	R	12	100	0
chr21.43044912	chr21	43044912	R	12	100	0
chr21.43047566	chr21	43047566	F	111	100	0
chr21.43047578	chr21	43047578	F	112	100	0
chr21.43049996	chr21	43049996	F	20	100	0
chr21.43050013	chr21	43050013	F	20	100	0
chr21.43052133	chr21	43052133	F	100	100	0
chr21.43052356	chr21	43052356	F	38	100	0
chr21.43052368	chr21	43052368	R	78	94.87	5.13
chr21.43052368	chr21	43052368	F	37	0	100
chr21.43052398	chr21	43052398	R	80	100	0
chr21.43053230	chr21	43053230	F	322	99.69	0.31
chr21.43053297	chr21	43053297	R	83	100	0
chr21.43054272	chr21	43054272	F	80	100	0
chr21.43054327	chr21	43054327	R	61	100	0
chr21.43054327	chr21	43054327	F	78	100	0
chr21.43054353	chr21	43054353	R	63	100	0
chr21.43054370	chr21	43054370	R	63	100	0
chr21.43054373	chr21	43054373	R	63	100	0
chr21.43054877	chr21	43054877	R	144	100	0
chr21.43057313	chr21	43057313	F	16	100	0
chr21.43057322	chr21	43057322	F	15	100	0
chr21.43057325	chr21	43057325	F	16	100	0
chr21.43057332	chr21	43057332	F	16	100	0
chr21.43057350	chr21	43057350	F	16	100	0
chr21.43057353	chr21	43057353	F	16	100	0
chr21.43057363	chr21	43057363	F	16	100	0
chr21.43057366	chr21	43057366	F	15	100	0
chr21.43060439	chr21	43060439	F	65	100	0
chr21.43060507	chr21	43060507	R	56	100	0
chr21.43060527	chr21	43060527	R	56	100	0
chr21.43060566	chr21	43060566	R	18	100	0
chr21.43060742	chr21	43060742	R	126	100	0
chr21.43060768	chr21	43060768	R	127	100	0
chr21.43060775	chr21	43060775	R	127	100	0
chr21.43060884	chr21	43060884	R	265	22.26	77.74
chr21.43060884	chr21	43060884	F	35	25.71	74.29
chr21.43060901	chr21	43060901	F	35	100	0
chr21.43060901	chr21	43060901	R	203	34.48	65.52
chr21.43060906	chr21	43060906	F	34	100	0
chr21.43060906	chr21	43060906	R	187	36.9	63.1
chr21.43060934	chr21	43060934	R	206	100	0
chr21.43060934	chr21	43060934	F	34	100	0
chr21.43060941	chr21	43060941	F	34	0	100
chr21.43060941	chr21	43060941	R	204	100	0
chr21.43061805	chr21	43061805	R	15	100	0
chr21.43063152	chr21	43063152	R	73	100	0
chr21.43063158	chr21	43063158	R	73	100	0
chr21.43064705	chr21	43064705	R	225	100	0
chr21.43071596	chr21	43071596	R	12	0	100
chr21.43071599	chr21	43071599	R	12	0	100
chr21.43071610	chr21	43071610	F	30	100	0
chr21.43071610	chr21	43071610	R	12	100	0
chr21.43071703	chr21	43071703	R	48	58.33	41.67
chr21.43074649	chr21	43074649	R	72	0	100
chr21.43074659	chr21	43074659	R	72	0	100
chr21.43074667	chr21	43074667	R	72	0	100
chr21.43074683	chr21	43074683	R	66	0	100
chr21.43074694	chr21	43074694	R	72	0	100
chr21.43074702	chr21	43074702	R	72	0	100
chr21.43074898	chr21	43074898	R	102	100	0
chr21.43074900	chr21	43074900	R	102	0	100
chr21.43074905	chr21	43074905	R	102	0	100
chr21.43078173	chr21	43078173	F	29	0	100
chr21.43078183	chr21	43078183	R	57	100	0
chr21.43078183	chr21	43078183	F	29	100	0
chr21.43078185	chr21	43078185	R	56	100	0
chr21.43078185	chr21	43078185	F	29	100	0
chr21.43078237	chr21	43078237	R	57	100	0
chr21.43078301	chr21	43078301	R	68	100	0
chr21.43078332	chr21	43078332	R	68	54.41	45.59
chr21.43078346	chr21	43078346	R	69	100	0
chr21.43078352	chr21	43078352	R	68	100	0
chr21.43095960	chr21	43095960	R	39	100	0
chr21.43095960	chr21	43095960	F	188	100	0
chr21.43099992	chr21	43099992	F	60	0	100
chr21.43100017	chr21	43100017	F	60	100	0
chr21.43100199	chr21	43100199	F	256	100	0
chr21.43100236	chr21	43100236	F	252	100	0
chr21.43100244	chr21	43100244	F	243	100	0
chr21.43117861	chr21	43117861	F	28	100	0
chr21.43117885	chr21	43117885	F	28	100	0
chr21.43117915	chr21	43117915	F	28	0	100
chr21.43130302	chr21	43130302	F	38	100	0
chr21.43130365	chr21	43130365	R	38	0	100
chr21.43130955	chr21	43130955	R	57	100	0
chr21.43130971	chr21	43130971	R	57	100	0
chr21.43131232	chr21	43131232	F	11	100	0
chr21.43131249	chr21	43131249	F	11	100	0
chr21.43131499	chr21	43131499	R	99	100	0
chr21.43131512	chr21	43131512	R	100	100	0
chr21.43131524	chr21	43131524	R	99	100	0
chr21.43132940	chr21	43132940	F	67	100	0
chr21.43132987	chr21	43132987	F	66	1.52	98.48
chr21.43133196	chr21	43133196	F	124	49.19	50.81
chr21.43133201	chr21	43133201	F	125	48.8	51.2
chr21.43133201	chr21	43133201	R	24	83.33	16.67
chr21.43133255	chr21	43133255	R	64	45.31	54.69
chr21.43134936	chr21	43134936	F	21	100	0
chr21.43134946	chr21	43134946	F	21	100	0
chr21.43134951	chr21	43134951	F	21	100	0
chr21.43135094	chr21	43135094	F	37	100	0
chr21.43135146	chr21	43135146	F	37	100	0
chr21.43135437	chr21	43135437	R	46	100	0
chr21.43135485	chr21	43135485	R	46	100	0
chr21.43137809	chr21	43137809	F	96	100	0
chr21.43137809	chr21	43137809	R	13	0	100
chr21.43137863	chr21	43137863	R	14	100	0
chr21.43137863	chr21	43137863	F	96	0	100
chr21.43143252	chr21	43143252	F	40	100	0
chr21.43143275	chr21	43143275	F	41	100	0
chr21.43143275	chr21	43143275	R	274	100	0
chr21.43143278	chr21	43143278	F	40	100	0
chr21.43143278	chr21	43143278	R	276	100	0
chr21.43143288	chr21	43143288	F	40	100	0
chr21.43143288	chr21	43143288	R	276	100	0
chr21.43143298	chr21	43143298	R	276	100	0
chr21.43143365	chr21	43143365	R	80	100	0
chr21.43143371	chr21	43143371	R	82	100	0
chr21.43143375	chr21	43143375	R	81	100	0
chr21.43143404	chr21	43143404	R	82	100	0
chr21.43143410	chr21	43143410	R	82	100	0
chr21.43143413	chr21	43143413	R	82	100	0
chr21.43143687	chr21	43143687	R	51	100	0
chr21.43143708	chr21	43143708	R	50	100	0
chr21.43143712	chr21	43143712	R	51	98.04	1.96
chr21.43143901	chr21	43143901	F	272	100	0
chr21.43143957	chr21	43143957	F	265	100	0
chr21.43144060	chr21	43144060	R	154	0	100
chr21.43144101	chr21	43144101	R	155	0	100
chr21.43144163	chr21	43144163	R	10	100	0
chr21.43144174	chr21	43144174	R	14	100	0
chr21.43144215	chr21	43144215	R	39	66.67	33.33
chr21.43144230	chr21	43144230	R	338	92.9	7.1
chr21.43144248	chr21	43144248	R	335	91.64	8.36
chr21.43144251	chr21	43144251	R	340	100	0
chr21.43144251	chr21	43144251	F	58	100	0
chr21.43144291	chr21	43144291	F	57	100	0
chr21.43145168	chr21	43145168	R	746	100	0
chr21.43145207	chr21	43145207	R	755	100	0
chr21.43146356	chr21	43146356	F	81	100	0
chr21.43146400	chr21	43146400	F	83	100	0
chr21.43146551	chr21	43146551	R	183	100	0
chr21.43146554	chr21	43146554	R	182	100	0
chr21.43147022	chr21	43147022	R	72	0	100
chr21.43147045	chr21	43147045	R	73	100	0
chr21.43147063	chr21	43147063	R	73	100	0
chr21.43147079	chr21	43147079	R	73	100	0
chr21.43147659	chr21	43147659	R	272	100	0
chr21.43147678	chr21	43147678	R	274	100	0
chr21.43147710	chr21	43147710	R	274	100	0
chr21.43147835	chr21	43147835	R	24	100	0
chr21.43147852	chr21	43147852	R	25	100	0
chr21.43147855	chr21	43147855	R	25	100	0
chr21.43147858	chr21	43147858	R	25	100	0
chr21.43150582	chr21	43150582	R	29	100	0
chr21.43150621	chr21	43150621	R	30	100	0
chr21.43152864	chr21	43152864	F	47	100	0
chr21.43152882	chr21	43152882	F	47	100	0
chr21.43152890	chr21	43152890	F	47	100	0
chr21.43152911	chr21	43152911	R	107	100	0
chr21.43152911	chr21	43152911	F	46	100	0
chr21.43152921	chr21	43152921	F	46	100	0
chr21.43152933	chr21	43152933	R	108	100	0
chr21.43152942	chr21	43152942	R	107	100	0
chr21.43152946	chr21	43152946	R	108	100	0
chr21.43152955	chr21	43152955	R	107	100	0
chr21.43153678	chr21	43153678	F	260	100	0
chr21.43153702	chr21	43153702	F	262	100	0
chr21.43153850	chr21	43153850	R	228	100	0
chr21.43153855	chr21	43153855	R	230	100	0
chr21.43153868	chr21	43153868	R	232	100	0
chr21.43153890	chr21	43153890	R	238	100	0
chr21.43153903	chr21	43153903	R	235	100	0
chr21.43153903	chr21	43153903	F	29	100	0
chr21.43153951	chr21	43153951	F	29	100	0
chr21.43155158	chr21	43155158	F	47	17.02	82.98
chr21.43155200	chr21	43155200	F	45	100	0
chr21.43155200	chr21	43155200	R	355	0	100
chr21.43155221	chr21	43155221	R	357	100	0
chr21.43155221	chr21	43155221	F	45	100	0
chr21.43155257	chr21	43155257	F	45	0	100
chr21.43155257	chr21	43155257	R	356	7.3	92.7
chr21.43156066	chr21	43156066	F	24	100	0
chr21.43156081	chr21	43156081	F	24	100	0
chr21.43156117	chr21	43156117	F	24	100	0
chr21.43156390	chr21	43156390	R	133	100	0
chr21.43156417	chr21	43156417	R	136	100	0
chr21.43156432	chr21	43156432	R	135	100	0
chr21.43156958	chr21	43156958	R	69	100	0
chr21.43156978	chr21	43156978	R	72	100	0
chr21.43157007	chr21	43157007	R	71	100	0
chr21.43158134	chr21	43158134	R	246	100	0
chr21.43158165	chr21	43158165	R	244	100	0
chr21.43158169	chr21	43158169	R	247	100	0
chr21.43162938	chr21	43162938	F	37	100	0
chr21.43162954	chr21	43162954	F	37	100	0
chr21.43163048	chr21	43163048	R	317	100	0
chr21.43165972	chr21	43165972	F	43	100	0
chr21.43166040	chr21	43166040	F	35	100	0
chr21.43166048	chr21	43166048	F	36	100	0
chr21.43166056	chr21	43166056	F	36	100	0
chr21.43166070	chr21	43166070	F	36	0	100
chr21.43166072	chr21	43166072	F	36	100	0
chr21.43166161	chr21	43166161	R	10	100	0
chr21.43172083	chr21	43172083	F	34	0	100
chr21.43172121	chr21	43172121	F	30	0	100
chr21.43172123	chr21	43172123	F	31	0	100
chr21.43172221	chr21	43172221	F	35	0	100
chr21.43172242	chr21	43172242	F	32	0	100
chr21.43172242	chr21	43172242	R	78	0	100
chr21.43172245	chr21	43172245	R	76	0	100
chr21.43172245	chr21	43172245	F	33	0	100
chr21.43172252	chr21	43172252	F	34	0	100
chr21.43172252	chr21	43172252	R	78	0	100
chr21.43172267	chr21	43172267	R	80	0	100
chr21.43172316	chr21	43172316	F	73	0	100
chr21.43172329	chr21	43172329	R	129	0	100
chr21.43172329	chr21	43172329	F	73	0	100
chr21.43172356	chr21	43172356	F	62	0	100
chr21.43172356	chr21	43172356	R	131	0	100
chr21.43172358	chr21	43172358	R	131	0	100
chr21.43172358	chr21	43172358	F	67	0	100
chr21.43172361	chr21	43172361	R	133	0	100
chr21.43172367	chr21	43172367	F	108	0	100
chr21.43172374	chr21	43172374	F	101	0	100
chr21.43172378	chr21	43172378	F	108	0	100
chr21.43172381	chr21	43172381	F	108	0	100
chr21.43172387	chr21	43172387	F	94	0	100
chr21.43172391	chr21	43172391	F	108	0	100
chr21.43172394	chr21	43172394	F	70	0	100
chr21.43172400	chr21	43172400	F	67	0	100
chr21.43172413	chr21	43172413	F	53	0	100
chr21.43172421	chr21	43172421	R	60	0	100
chr21.43172421	chr21	43172421	F	102	0	100
chr21.43172423	chr21	43172423	R	60	0	100
chr21.43172423	chr21	43172423	F	97	0	100
chr21.43172432	chr21	43172432	R	63	0	100
chr21.43172440	chr21	43172440	R	62	0	100
chr21.43172443	chr21	43172443	R	63	0	100
chr21.43172452	chr21	43172452	R	63	0	100
chr21.43172464	chr21	43172464	R	63	0	100
chr21.43172474	chr21	43172474	R	63	0	100
chr21.43172680	chr21	43172680	R	171	0	100
chr21.43172684	chr21	43172684	R	171	0	100
chr21.43172692	chr21	43172692	R	205	0	100
chr21.43172730	chr21	43172730	R	225	0	100
chr21.43172735	chr21	43172735	R	230	0	100
chr21.43172789	chr21	43172789	R	29	0	100
chr21.43172803	chr21	43172803	R	30	0	100
chr21.43172822	chr21	43172822	R	29	0	100
chr21.43172840	chr21	43172840	R	27	0	100
chr21.43172847	chr21	43172847	R	30	0	100
chr21.43172847	chr21	43172847	F	33	0	100
chr21.43172868	chr21	43172868	F	33	0	100
chr21.43172876	chr21	43172876	F	33	0	100
chr21.43173074	chr21	43173074	F	269	0	100
chr21.43173081	chr21	43173081	F	269	0	100
chr21.43173106	chr21	43173106	F	270	0	100
chr21.43173233	chr21	43173233	F	10	0	100
chr21.43173240	chr21	43173240	F	10	0	100
chr21.43173257	chr21	43173257	F	10	0	100
chr21.43173263	chr21	43173263	F	10	0	100
chr21.43173269	chr21	43173269	F	10	0	100
chr21.43173631	chr21	43173631	R	21	100	0
chr21.43173637	chr21	43173637	R	21	100	0
chr21.43173657	chr21	43173657	R	21	100	0
chr21.43180965	chr21	43180965	R	73	100	0
chr21.43180980	chr21	43180980	R	75	100	0
chr21.43180989	chr21	43180989	R	74	100	0
chr21.43181021	chr21	43181021	R	75	100	0
chr21.43186180	chr21	43186180	F	314	0	100
chr21.43186188	chr21	43186188	F	303	0	100
chr21.43186194	chr21	43186194	F	312	0	100
chr21.43186221	chr21	43186221	F	313	0	100
chr21.43186231	chr21	43186231	R	12	0	100
chr21.43186231	chr21	43186231	F	312	0	100
chr21.43186234	chr21	43186234	F	310	0	100
chr21.43186236	chr21	43186236	F	310	0	100
chr21.43186242	chr21	43186242	R	11	0	100
chr21.43186250	chr21	43186250	R	10	0	100
chr21.43186258	chr21	43186258	R	11	0	100
chr21.43186262	chr21	43186262	R	14	0	100
chr21.43186278	chr21	43186278	R	15	6.67	93.33
chr21.43186288	chr21	43186288	R	15	0	100
chr21.43186288	chr21	43186288	F	44	0	100
chr21.43186294	chr21	43186294	R	65	0	100
chr21.43186294	chr21	43186294	F	44	0	100
chr21.43186305	chr21	43186305	F	43	0	100
chr21.43186305	chr21	43186305	R	65	0	100
chr21.43186330	chr21	43186330	F	44	0	100
chr21.43186330	chr21	43186330	R	67	0	100
chr21.43186335	chr21	43186335	R	67	0	100
chr21.43186335	chr21	43186335	F	278	0	100
chr21.43186340	chr21	43186340	F	256	0	100
chr21.43186378	chr21	43186378	F	269	0	100
chr21.43186380	chr21	43186380	F	266	0	100
chr21.43186382	chr21	43186382	F	271	0	100
chr21.43186392	chr21	43186392	F	279	0	100
chr21.43186496	chr21	43186496	R	179	0	100
chr21.43186500	chr21	43186500	R	173	0	100
chr21.43186509	chr21	43186509	R	172	0	100
chr21.43186523	chr21	43186523	R	203	0	100
chr21.43186534	chr21	43186534	R	204	0	100
chr21.43186543	chr21	43186543	R	204	0	100
chr21.43186548	chr21	43186548	R	203	0	100
chr21.43186548	chr21	43186548	F	130	0	100
chr21.43186553	chr21	43186553	F	118	0	100
chr21.43186590	chr21	43186590	F	126	0	100
chr21.43186592	chr21	43186592	F	118	0	100
chr21.43186598	chr21	43186598	F	127	0	100
chr21.43186606	chr21	43186606	F	128	0	100
chr21.43186646	chr21	43186646	F	39	0	100
chr21.43186656	chr21	43186656	F	40	0	100
chr21.43186658	chr21	43186658	F	38	0	100
chr21.43186669	chr21	43186669	F	39	0	100
chr21.43186683	chr21	43186683	F	40	0	100
chr21.43186692	chr21	43186692	R	31	0	100
chr21.43186692	chr21	43186692	F	40	0	100
chr21.43186715	chr21	43186715	R	42	0	100
chr21.43186720	chr21	43186720	R	46	0	100
chr21.43186732	chr21	43186732	F	60	0	100
chr21.43186732	chr21	43186732	R	46	0	100
chr21.43186745	chr21	43186745	F	56	0	100
chr21.43186749	chr21	43186749	F	59	0	100
chr21.43186754	chr21	43186754	F	60	0	100
chr21.43186756	chr21	43186756	F	60	0	100
chr21.43186765	chr21	43186765	F	60	0	100
chr21.43190847	chr21	43190847	F	80	100	0
chr21.43198263	chr21	43198263	R	49	0	100
chr21.43198321	chr21	43198321	R	51	100	0
chr21.43198412	chr21	43198412	R	34	100	0
chr21.43198435	chr21	43198435	R	36	100	0
chr21.43212811	chr21	43212811	F	57	100	0
chr21.43212857	chr21	43212857	F	57	100	0
chr21.43212857	chr21	43212857	R	14	100	0
chr21.43212890	chr21	43212890	R	13	100	0
chr21.43212896	chr21	43212896	R	14	100	0
chr21.43212901	chr21	43212901	R	14	100	0
chr21.43216208	chr21	43216208	R	77	100	0
chr21.43216217	chr21	43216217	R	78	100	0
chr21.43216226	chr21	43216226	R	78	100	0
chr21.43216241	chr21	43216241	R	77	100	0
chr21.43216241	chr21	43216241	F	52	100	0
chr21.43216262	chr21	43216262	F	45	57.78	42.22
chr21.43216278	chr21	43216278	F	51	100	0
chr21.43216289	chr21	43216289	F	50	100	0
chr21.43218419	chr21	43218419	F	50	100	0
chr21.43218505	chr21	43218505	F	26	100	0
chr21.43218532	chr21	43218532	F	26	100	0
chr21.43218545	chr21	43218545	F	26	100	0
chr21.43218595	chr21	43218595	F	50	100	0
chr21.43218647	chr21	43218647	F	45	100	0
chr21.43218653	chr21	43218653	F	46	100	0
chr21.43218653	chr21	43218653	R	27	100	0
chr21.43218664	chr21	43218664	R	27	100	0
chr21.43218710	chr21	43218710	R	27	100	0
chr21.43219276	chr21	43219276	F	86	100	0
chr21.43219292	chr21	43219292	F	85	100	0
chr21.43220182	chr21	43220182	R	73	100	0
chr21.43220194	chr21	43220194	R	73	100	0
chr21.43220214	chr21	43220214	R	72	100	0
chr21.43220224	chr21	43220224	R	73	100	0
chr21.43220226	chr21	43220226	R	68	0	100
chr21.43220230	chr21	43220230	R	73	100	0
chr21.43220794	chr21	43220794	R	35	100	0
chr21.43220822	chr21	43220822	R	35	100	0
chr21.43220827	chr21	43220827	R	36	100	0
chr21.43220832	chr21	43220832	R	36	100	0
chr21.43220847	chr21	43220847	R	36	100	0
chr21.43220948	chr21	43220948	R	34	100	0
chr21.43220956	chr21	43220956	R	34	100	0
chr21.43220980	chr21	43220980	R	33	100	0
chr21.43225386	chr21	43225386	R	17	100	0
chr21.43225627	chr21	43225627	F	16	100	0
chr21.43225654	chr21	43225654	F	16	100	0
chr21.43225702	chr21	43225702	R	18	100	0
chr21.43225725	chr21	43225725	R	18	100	0
chr21.43225730	chr21	43225730	R	18	100	0
chr21.43225749	chr21	43225749	R	18	100	0
chr21.43225766	chr21	43225766	F	112	100	0
chr21.43225774	chr21	43225774	F	113	100	0
chr21.43225833	chr21	43225833	R	310	100	0
chr21.43229117	chr21	43229117	R	35	100	0
chr21.43229165	chr21	43229165	R	35	97.14	2.86
chr21.43230477	chr21	43230477	R	21	100	0
chr21.43230504	chr21	43230504	R	21	100	0
chr21.43231662	chr21	43231662	F	22	100	0
chr21.43231690	chr21	43231690	F	22	100	0
chr21.43234549	chr21	43234549	R	25	100	0
chr21.43234606	chr21	43234606	R	25	100	0
chr21.43234751	chr21	43234751	F	349	100	0
chr21.43234760	chr21	43234760	F	348	73.28	26.72
chr21.43234787	chr21	43234787	R	108	41.67	58.33
chr21.43234787	chr21	43234787	F	350	73.14	26.86
chr21.43234819	chr21	43234819	R	109	100	0
chr21.43239956	chr21	43239956	F	29	100	0
chr21.43239970	chr21	43239970	F	30	100	0
chr21.43239998	chr21	43239998	F	30	100	0
chr21.43240028	chr21	43240028	R	55	100	0
chr21.43240080	chr21	43240080	R	55	100	0
chr21.43246748	chr21	43246748	F	26	100	0
chr21.43246827	chr21	43246827	R	18	100	0
chr21.43248994	chr21	43248994	R	24	100	0
chr21.43248999	chr21	43248999	R	24	100	0
chr21.43249005	chr21	43249005	R	24	100	0
chr21.43249029	chr21	43249029	R	25	100	0
chr21.43249034	chr21	43249034	R	24	100	0
chr21.43249045	chr21	43249045	R	25	100	0
chr21.43250706	chr21	43250706	F	134	100	0
chr21.43250714	chr21	43250714	F	134	100	0
chr21.43250714	chr21	43250714	R	62	100	0
chr21.43250738	chr21	43250738	F	133	100	0
chr21.43250738	chr21	43250738	R	62	100	0
chr21.43250756	chr21	43250756	R	63	39.68	60.32
chr21.43251238	chr21	43251238	R	25	100	0
chr21.43252762	chr21	43252762	F	13	100	0
chr21.43252819	chr21	43252819	F	13	100	0
chr21.43262030	chr21	43262030	R	13	100	0
chr21.43262041	chr21	43262041	R	13	100	0
chr21.43262073	chr21	43262073	R	13	100	0
chr21.43265239	chr21	43265239	F	134	100	0
chr21.43267022	chr21	43267022	F	459	0.22	99.78
chr21.43267039	chr21	43267039	F	444	0	100
chr21.43267215	chr21	43267215	R	24	0	100
chr21.43267215	chr21	43267215	F	156	0	100
chr21.43267244	chr21	43267244	F	148	0	100
chr21.43267244	chr21	43267244	R	31	0	100
chr21.43267255	chr21	43267255	R	29	0	100
chr21.43267255	chr21	43267255	F	155	0	100
chr21.43267272	chr21	43267272	F	193	0	100
chr21.43267272	chr21	43267272	R	31	0	100
chr21.43267287	chr21	43267287	R	271	0	100
chr21.43267287	chr21	43267287	F	39	0	100
chr21.43267297	chr21	43267297	F	39	0	100
chr21.43267297	chr21	43267297	R	269	0	100
chr21.43267303	chr21	43267303	F	39	0	100
chr21.43267303	chr21	43267303	R	271	0	100
chr21.43267308	chr21	43267308	R	266	0	100
chr21.43267308	chr21	43267308	F	39	0	100
chr21.43267312	chr21	43267312	F	20	0	100
chr21.43267312	chr21	43267312	R	270	0	100
chr21.43267315	chr21	43267315	F	20	0	100
chr21.43267326	chr21	43267326	R	161	0	100
chr21.43267326	chr21	43267326	F	20	0	100
chr21.43267349	chr21	43267349	R	144	0	100
chr21.43267349	chr21	43267349	F	18	0	100
chr21.43267357	chr21	43267357	R	162	0	100
chr21.43267357	chr21	43267357	F	11	0	100
chr21.43267372	chr21	43267372	R	156	0	100
chr21.43267376	chr21	43267376	F	22	0	100
chr21.43267376	chr21	43267376	R	161	0	100
chr21.43267399	chr21	43267399	F	19	0	100
chr21.43267406	chr21	43267406	F	22	0	100
chr21.43267412	chr21	43267412	F	21	0	100
chr21.43267414	chr21	43267414	F	21	0	100
chr21.43267428	chr21	43267428	F	22	0	100
chr21.43267432	chr21	43267432	F	22	0	100
chr21.43267612	chr21	43267612	R	117	0	100
chr21.43267628	chr21	43267628	R	62	0	100
chr21.43267630	chr21	43267630	R	47	0	100
chr21.43267634	chr21	43267634	R	65	0	100
chr21.43267637	chr21	43267637	R	95	0	100
chr21.43267640	chr21	43267640	R	113	0	100
chr21.43267642	chr21	43267642	R	120	0	100
chr21.43267654	chr21	43267654	R	129	0	100
chr21.43267661	chr21	43267661	R	127	0	100
chr21.43267667	chr21	43267667	R	129	0	100
chr21.43267861	chr21	43267861	R	293	0	100
chr21.43267869	chr21	43267869	R	284	0	100
chr21.43267872	chr21	43267872	R	290	0.34	99.66
chr21.43267875	chr21	43267875	R	284	0	100
chr21.43267878	chr21	43267878	R	345	0	100
chr21.43267881	chr21	43267881	R	345	0	100
chr21.43267887	chr21	43267887	R	350	0	100
chr21.43267890	chr21	43267890	R	356	0.28	99.72
chr21.43267893	chr21	43267893	R	355	0	100
chr21.43267896	chr21	43267896	R	387	0.26	99.74
chr21.43267914	chr21	43267914	F	242	0	100
chr21.43267914	chr21	43267914	R	388	0.26	99.74
chr21.43267919	chr21	43267919	F	242	0	100
chr21.43267919	chr21	43267919	R	17	0	100
chr21.43267921	chr21	43267921	F	234	0	100
chr21.43267921	chr21	43267921	R	18	0	100
chr21.43267925	chr21	43267925	F	243	0	100
chr21.43267925	chr21	43267925	R	16	0	100
chr21.43267928	chr21	43267928	R	16	0	100
chr21.43267928	chr21	43267928	F	240	0	100
chr21.43267932	chr21	43267932	R	17	0	100
chr21.43267932	chr21	43267932	F	242	0	100
chr21.43267935	chr21	43267935	F	237	0	100
chr21.43267935	chr21	43267935	R	19	0	100
chr21.43267938	chr21	43267938	F	239	0	100
chr21.43267938	chr21	43267938	R	19	0	100
chr21.43267941	chr21	43267941	F	242	0	100
chr21.43267941	chr21	43267941	R	19	0	100
chr21.43267947	chr21	43267947	F	241	0	100
chr21.43267947	chr21	43267947	R	19	0	100
chr21.43267951	chr21	43267951	R	19	0	100
chr21.43267965	chr21	43267965	F	36	0	100
chr21.43267968	chr21	43267968	F	36	0	100
chr21.43267968	chr21	43267968	R	747	0	100
chr21.43267977	chr21	43267977	R	788	0	100
chr21.43267977	chr21	43267977	F	36	0	100
chr21.43267985	chr21	43267985	F	36	0	100
chr21.43267985	chr21	43267985	R	766	0.13	99.87
